date,state,new_cases,total_cases,new_deaths,total_deaths
2021-08-03,PERLIS,7.0,741.0,1,10
2021-08-03,KEDAH,1036.0,49286.0,13,472
2021-08-03,PULAU PINANG,798.0,48050.0,15,207
2021-08-03,PERAK,967.0,40087.0,4,217
2021-08-03,SELANGOR,5836.0,425648.0,88,3420
2021-08-03,NEGERI SEMBILAN,816.0,73978.0,8,752
2021-08-03,MELAKA,508.0,33023.0,8,420
2021-08-03,JOHOR,1275.0,94225.0,24,980
2021-08-03,PAHANG,628.0,26215.0,8,271
2021-08-03,TERENGGANU,429.0,18231.0,7,138
2021-08-03,KELANTAN,915.0,44920.0,3,283
2021-08-03,SABAH,1010.0,87899.0,12,655
2021-08-03,SARAWAK,494.0,78211.0,2,465
2021-08-03,WP KUALA LUMPUR,2309.0,128958.0,1,1181
2021-08-03,WP PUTRAJAYA,72.0,4141.0,0,16
2021-08-03,WP LABUAN,5.0,9678.0,1,147
